EC / List No.,CAS No.,Name,Registration Type,Submission Type,Total Tonnage Band,Dossier ID,Link
200-001-8,50-00-0,formaldehyde,Full,Joint Submission,"1,000,000 + tonnes per annum",DISS-9daa7594-c409-0ed0-e044-00144f67d249,Dossier
200-001-8,50-00-0,formaldehyde,Intermediate,Individual Submission,Intermediate Use Only,DISS-9d8ad2a1-0d51-13f7-e044-00144f67d249,Dossier
200-002-3,50-01-1,guanidinium chloride,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-dffb4072-e2d4-47ae-e044-00144f67d031,Dossier
200-004-4,50-03-3,hydrocortisone 21-acetate,Intermediate,Joint Submission,Intermediate Use Only,DISS-9d8206a3-7e67-71dd-e044-00144f67d249,Dossier
200-018-0,50-21-5,lactic acid,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-9d9206e2-b2f0-4755-e044-00144f67d249,Dossier
200-020-1,50-23-7,hydrocortisone,Intermediate,Joint Submission,Intermediate Use Only,DISS-9d82345f-f55b-2136-e044-00144f67d249,Dossier
200-021-7,50-24-8,prednisolone,Full,Joint Submission,1 - 10 tonnes per annum,DISS-9d835bc2-c806-0fa9-e044-00144f67d249,Dossier
200-023-8,50-28-2,estradiol,Intermediate,Joint Submission,Intermediate Use Only,DISS-9d8ac687-b6d9-0a07-e044-00144f67d249,Dossier
200-041-6,50-48-6,amitriptyline,Intermediate,Individual Submission,Intermediate Use Only,DISS-e7627168-f872-63fd-e044-00144f67d031,Dossier
200-064-1,50-78-2,O-acetylsalicylic acid,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-dcecced4-9f30-3ecc-e044-00144f67d031,Dossier
200-064-1,50-78-2,O-acetylsalicylic acid,Intermediate,Individual Submission,Intermediate Use Only,DISS-e7627168-f7a6-63fd-e044-00144f67d031,Dossier
200-070-4, ,thymidine,Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-db9b544e-ab33-4bfb-e044-00144f67d031,Dossier
200-076-7,51-03-6,2-(2-butoxyethoxy)ethyl 6-propylpiperonyl ether,Full,Joint Submission,Tonnage Data Confidential,DISS-9d962cd2-1640-46d8-e044-00144f67d249,Dossier
200-076-7,51-03-6,2-(2-butoxyethoxy)ethyl 6-propylpiperonyl ether,Full,Individual Submission,1 - 10 tonnes per annum,DISS-c4c3d2f6-15fb-3ab2-e044-00144f67d031,Dossier
200-085-6,51-21-8,fluorouracil,Intermediate,Joint Submission,Intermediate Use Only,DISS-d016f922-a494-3a3a-e044-00144f67d249,Dossier
200-087-7,51-28-5,"2,4-dinitrophenol",Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-d38d1f60-b366-7199-e044-00144f67d249,Dossier
200-090-3,51-34-3,hyoscine,Intermediate,Individual Submission,Intermediate Use Only,DISS-d975c622-33a8-1b0e-e044-00144f67d031,Dossier
200-143-0,52-51-7,bronopol,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-e18edfe9-0292-58ce-e044-00144f67d031,Dossier
200-157-7,52-89-1,cysteine hydrochloride,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-dffb4072-e49a-47ae-e044-00144f67d031,Dossier
200-164-5,53-16-7,estrone,Full,Joint Submission,10 - 100 tonnes per annum,DISS-9d95b9b9-97e6-541a-e044-00144f67d249,Dossier
200-164-5,53-16-7,estrone,Full,Individual Submission,1 - 10 tonnes per annum,DISS-9fe56557-d51d-7034-e044-00144f67d031,Dossier
200-175-5,53-43-0,prasterone,Intermediate,Joint Submission,Intermediate Use Only,DISS-d38cf3f4-1062-4cc2-e044-00144f67d249,Dossier
200-184-4,53-84-9,nadide,Full,Joint Submission,1 - 10 tonnes per annum,DISS-d6b18ecf-6796-4f0a-e044-00144f67d031,Dossier
200-186-5,53-86-1,indometacin,Intermediate,Joint Submission,Intermediate Use Only,DISS-9d89dc88-6184-4792-e044-00144f67d249,Dossier
200-198-0,54-21-7,sodium salicylate,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-c4c482c8-1365-16a2-e044-00144f67d031,Dossier
200-238-7,55-56-1,chlorhexidine,Intermediate,Joint Submission,Intermediate Use Only,DISS-d6b1a730-9bbd-5986-e044-00144f67d031,Dossier
200-240-8,55-63-0,glycerol trinitrate,Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-9d82da35-5a60-2533-e044-00144f67d249,Dossier
200-261-2,56-18-8,"3,3'-iminodi(propylamine)",Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-dffb4072-e416-47ae-e044-00144f67d031,Dossier
200-262-8,56-23-5,carbon tetrachloride,Full,Joint Submission,"10,000 - 100,000 tonnes per annum",DISS-9d8c7535-6286-5b49-e044-00144f67d249,Dossier
200-268-0,56-35-9,bis(tributyltin) oxide,Intermediate,Joint Submission,Intermediate Use Only,DISS-9d83c0b5-75fa-5b0a-e044-00144f67d249,Dossier
200-272-2,56-40-6,glycine,Intermediate,Individual Submission,Intermediate Use Only,DISS-9d843495-afb9-39c4-e044-00144f67d249,Dossier
200-272-2,56-40-6,glycine,Intermediate,Joint Submission,Intermediate Use Only,DISS-abd5e2a9-6007-3dba-e044-00144f67d249,Dossier
200-273-8,56-41-7,L-alanine,Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-d6b1b40c-fea8-5fdf-e044-00144f67d031,Dossier
